,G02Q10,G02Q10Copy,G02Q07,G02Q07Copy,G02Q08,G02Q08Copy,G02Q09,G02Q09Copy,G02Q10Time,G02Q10CopyTime,G02Q07Time,G02Q07CopyTime,G02Q08Time,G02Q08CopyTime,G02Q09Time,G02Q09CopyTime
0,"AI comments feature is useful especially when you need to correct a specific part of the text.
Summary and extend shortcut is useful for gaining (reducing) more text symbols automatically.",I didn't get the real purpose of the translate shortcut.,The feature of separating and giving an initial information for AI agent is great. The user can create multiple agents for different purposes and save a lot of time by that.,Some times the answers were too general but it was easy to fix before the approval.,,,"I found the prototype useful for personal use and collaborative work. Provided features like agents, task, and shortcuts save a lot of time and allow to focus on the topic of the essay itself.",Sometimes AI answers can be confusing and you still have to do a fact checking and not simply rely on AI agents.,,,,,,,,
1,most of the shortcuts were useful , translation did not work for our group,"was rlly useful to get the AI agents responses that were quite accurate
",-,in one task i could mention 3 to-dos and he managed them all,-,"* AI-powered assistance, the idea that users can give tasks to AI (e.g., “summarize this,” “rewrite more formally”), streamlining content creation and editing
* timesaving shortcuts which allow users to work with quick-access buttons for translation, comment summarization, and more improve efficiency
* enhanced productivity – AI reduces manual work like brainstorming, structuring, or refining text.","* over-reliance on AI: users may depend too much on AI, reducing critical thinking and writing skills, no possibility to express urself
* potential inaccuracy: AI-generated content may have errors or misinterpret intent, requiring human verification
* privacy concerns!!!datenschutz!  AI processing could raise security issues, especially for sensitive documents.
* users might need time to adapt to AI interactions and shortcuts.
* customization limits: AI may not always match individual writing styles or preferences.",,,,,,,,
2,Use of AI integrated to the app without a need to switch on ChatGPT opened in another tab,"Absent of preset features useful for essay, such as grammar check or professional tone enhancement ",I could give them the context and role so that I do not need to define it when I prompt a general AI agent in the comments,I expected more useful preset agents for my task (write essay),,"Unfortunately, interaction with tasks gave me feeling that they get the whole document as the context while I wanted to use tasks for specific parts of the document. ","Comments, comments, comments, i.e. the ability to interact with AI agent in the comments and apply the result. ",Absence of notifications when somebody mention you in the comments. Tasks and multiple AI agents I found useless and a need to learn the system well before I can quickly jump into the essay writing.,,,,,,,,
3,"I did not need to use external sources. Communication with AI was enough to get all the info, corrections, etc.","It was hard to follow comments/progress by other participants. Sound notification when someone is tagging you would be helpfull. It was a bit complecated at the beginning to figure out how ""tasks"" function.","Fast reply, ability to replace the text immidiatelly.",It would be nice to have grammar checking and grade giving functions.,"Fast, give solution in a comment section. so you can check first and change smth in text ir in task before applying to the text.",Took some time at first to understand the purpose and how to use them.,I would really need this function in my work and studying. No need to switch pages to search for info.,No sound notifications.,,,,,,,,
4,The available toolset allows running manual task without any necessity to mention an agent in comments. This option saves time and accelerates writing in general. It's also nice that I can highlight specific text for an agent and ask it to do something considering only selected text. The provided toolset was very intuitive.,It was a bit difficult to tell the difference between manual tasks in the toolset as they have the same picture (different colors and annotation). It is getting problematic when I have more than 3 manual tasks in this list.,There is a set of predefined agents that were really helpful for task of essay writing. I was pretty easy to create an agent with a specific role assignment as the application suggests skills and expertise.,The set of expertise and skills from AI suggestions were a bit short (only 3 options).,Very intuitive and easy way to create a task and start it. Autonomous task calling with notifications helps to maintain the document and delegates repeated reading (for checks) to AI agents.,The time period of running for some autonomous triggers was not clear.,"Writing with AI was a very exciting experience, because there was no need to write questions to ChatGPT and ask for something. Everything can be defined in the task. The ability to ask AI in comments was also very useful. Agents generally try to complete the task and often provide explanations for their answers.
In general, the application was easy and intuitive to use (creating tasks, agents and invoking them in comments).","To many options for autonomous task triggers. It feels like saving the document in case of changes is only one really necessary option since performing repetitive tasks can lead to spamming with comments from AI side. The ""Apply"" and ""Replace"" options for the answer of AI are usually impossible as agents sometimes provide large responses that need to be reviewed. Also, having many autonomous tasks can lead to comment spamming.",,,,,,,,
5,"It was very intuitive and time-saving, and improved my efficiency!",Not being able to add more than one comment to a specific part of the text.,"They were helpful in suggesting ideas, providing relevant answers, and improving the text during work!","The names of the agents were somewhat difficult to remember, along with their specific functions. 
The answers they generated often included extra text, making them not directly replaceable in the text, requiring manual selection and copy-pasting.",,,"Having AI agents available while writing was very helpful, time-saving, and convenient, making everything much easier. 
The toolset, including features like 'Create Comment' and the ability to mention collaborators for interaction, was really useful. 
Additionally, the prototype's design was well-executed—minimalistic, similar to Google Drive, and easy to learn and work with.","Creating agents and tasks involves manual effort, which might discourage some users who prefer relying on pre-configured agents.",,,,,,,,
6,It was fun working with someone else. It was nice asking it straight in the document without going on other web site.,"Toolset was commenting not full sentence. Comments were straight from chat gpt, so you really need to correct the sentence after. ","They were giving long comments, so text was getting longer and longer. Good when you right an essay.",They were misplacing the comments. Comments were not on the subject sometimes and not on the whole sentence. You write one task and it rephases it in different way so the point can be lost. ,It was easy to make them and give them for the specific agent.,"They were rephrased, so wasn´t sure if the agent understood me right. ","It was fun to work with someone. Like the idea of the prototype, feels like it would be a good one for students in the future.","The agents are not that smart, can´t define the sentence etc. Plus the flow is not smooth from chat gpt to the assistent.",,,,,,,,
7,"I liked the popup windows with ai commentary, they were easy to manage","When creating AI agents, the lack of initial choices for expertise and skills was confusing, sometimes it was unclear what was considered expertise and skills",,The ai wrote its own replies with the text during a replacement. It couldn't select whole sentences automatically. ,,I needed to add specific commentary so that the ai agents would only output raw text.,"Good performance, easy to use interface, clean design",Stuff mentioned in the other answers,,,,,,,,
8,"Unlike ChatGPT, this toolset allows to work with the whole document despite how long it is. Pretty useful for grammar check (even though built-in grammar check like in Google docs would be useful). Plus, the UI for the commentaries is pretty good, unlike how it is in Google Docs, where after each close commentary, the position of your text changes (it becomes to be no more in the centre of the screen or voce versa). It is extremely fun to create different AI agents and gice them all function you want: from a text reviewer to the ""praiser"", who praises you for good passages. Overall, it is an interresting idea.","The UI is a bit clumsy: it tskes too much space. The comment section is also clumsy, as when you scroll between commentaries, you are being thrown up and down. And the text window for work with the text is also small, I mean the upper and lower part - maube one could leave more space for the text. Another drawback is that the AI commentators highlight the wrong parts of the text when they comment something, usually the highlighted text is 2-3 sentences higher, that the related one. ","Usefull, inspirinmg",Highlighted the wrong sentences,,,"An interesting idea, useful tools.","Not all functions work properly (see upper), good foundation, not everything is polished.",,,,,,,,
9,It helps to check the grammar and to edit the text.,It's not intuitive to use.,It does its job.,It often doesn't understand a task.,It helps to write and improve a test.,The results are not always satisfactory.,It's one of the tools that help to write a text.,The results are not always satisfactory.,,,,,,,,
